1-й тур
07.11.2021 Реймс  -  Монако _ : _
07.11.2021 Ренн  -  Лион _ : _
07.11.2021 Сент-Этьен  -  Клермон Фут _ : _
14-й тур
21.11.2021 Анже  -  Лорьян _ : _
21.11.2021 Брест  -  Ланс _ : _
21.11.2021 Клермон Фут  -  Ницца _ : _
21.11.2021 Лион  -  Марсель _ : _
21.11.2021 Метц  -  Бордо _ : _
21.11.2021 Монако  -  Лилль _ : _
21.11.2021 ПСЖ  -  Нант _ : _
21.11.2021 Ренн  -  Монпелье _ : _
21.11.2021 Страсбур  -  Реймс _ : _
21.11.2021 Труа  -  Сент-Этьен _ : _
15-й тур
28.11.2021 Бордо  -  Брест _ : _
28.11.2021 Ланс  -  Анже _ : _
28.11.2021 Лилль  -  Нант _ : _
28.11.2021 Лорьян  -  Ренн _ : _
28.11.2021 Марсель  -  Труа _ : _
28.11.2021 Монако  -  Страсбур _ : _
28.11.2021 Монпелье  -  Лион _ : _
28.11.2021 Ницца  -  Метц _ : _
28.11.2021 Реймс  -  Клермон Фут _ : _
28.11.2021 Сент-Этьен  -  ПСЖ _ : _
16-й тур
01.12.2021 Труа  -  Лорьян _ : _
01.12.2021 Анже  -  Монако _ : _
01.12.2021 Брест  -  Сент-Этьен _ : _
01.12.2021 Клермон Фут  -  Ланс _ : _
01.12.2021 Лион  -  Реймс _ : _
01.12.2021 Метц  -  Монпелье _ : _
01.12.2021 Нант  -  Марсель _ : _
01.12.2021 ПСЖ  -  Ницца _ : _
01.12.2021 Ренн  -  Лилль _ : _
01.12.2021 Страсбур  -  Бордо _ : _
17-й тур
05.12.2021 Бордо  -  Лион _ : _
05.12.2021 Ланс  -  ПСЖ _ : _
05.12.2021 Лилль  -  Труа _ : _
05.12.2021 Лорьян  -  Нант _ : _
05.12.2021 Марсель  -  Брест _ : _
05.12.2021 Монако  -  Метц _ : _
05.12.2021 Монпелье  -  Клермон Фут _ : _
05.12.2021 Ницца  -  Страсбур _ : _
05.12.2021 Реймс  -  Анже _ : _
05.12.2021 Сент-Этьен  -  Ренн _ : _
18-й тур
12.12.2021 Анже  -  Клермон Фут _ : _
12.12.2021 Брест  -  Монпелье _ : _
12.12.2021 Лилль  -  Лион _ : _
12.12.2021 Метц  -  Лорьян _ : _
12.12.2021 Нант  -  Ланс _ : _
12.12.2021 ПСЖ  -  Монако _ : _
12.12.2021 Реймс  -  Сент-Этьен _ : _
12.12.2021 Ренн  -  Ницца _ : _
12.12.2021 Страсбур  -  Марсель _ : _
12.12.2021 Труа  -  Бордо _ : _
19-й тур
22.12.2021 Бордо  -  Лилль _ : _
22.12.2021 Клермон Фут  -  Страсбур _ : _
22.12.2021 Лион  -  Метц _ : _
22.12.2021 Лорьян  -  ПСЖ _ : _
22.12.2021 Марсель  -  Реймс _ : _
22.12.2021 Монако  -  Ренн _ : _
22.12.2021 Монпелье  -  Анже _ : _
22.12.2021 Ницца  -  Ланс _ : _
22.12.2021 Сент-Этьен  -  Нант _ : _
22.12.2021 Труа  -  Брест _ : _
20-й тур
09.01.2022 Анже  -  Сент-Этьен _ : _
09.01.2022 Бордо  -  Марсель _ : _
09.01.2022 Брест  -  Ницца _ : _
09.01.2022 Клермон Фут  -  Реймс _ : _
09.01.2022 Ланс  -  Ренн _ : _
09.01.2022 Лилль  -  Лорьян _ : _
09.01.2022 Лион  -  ПСЖ _ : _
09.01.2022 Метц  -  Страсбур _ : _
09.01.2022 Монпелье  -  Труа _ : _
09.01.2022 Нант  -  Монако _ : _
21-й тур
16.01.2022 Лорьян  -  Анже _ : _
16.01.2022 Марсель  -  Лилль _ : _
16.01.2022 Монако  -  Клермон Фут _ : _
16.01.2022 Ницца  -  Нант _ : _
16.01.2022 ПСЖ  -  Брест _ : _
16.01.2022 Реймс  -  Метц _ : _
16.01.2022 Ренн  -  Бордо _ : _
16.01.2022 Сент-Этьен  -  Ланс _ : _
16.01.2022 Страсбур  -  Монпелье _ : _
16.01.2022 Труа  -  Лион _ : _
22-й тур
23.01.2022 Анже  -  Труа _ : _
23.01.2022 Бордо  -  Страсбур _ : _
23.01.2022 Брест  -  Лилль _ : _
23.01.2022 Клермон Фут  -  Ренн _ : _
23.01.2022 Ланс  -  Марсель _ : _
23.01.2022 Лион  -  Сент-Этьен _ : _
23.01.2022 Метц  -  Ницца _ : _
23.01.2022 Монпелье  -  Монако _ : _
23.01.2022 Нант  -  Лорьян _ : _
23.01.2022 ПСЖ  -  Реймс _ : _
23-й тур
06.02.2022 Лилль  -  ПСЖ _ : _
06.02.2022 Лорьян  -  Ланс _ : _
06.02.2022 Марсель  -  Анже _ : _
06.02.2022 Монако  -  Лион _ : _
06.02.2022 Ницца  -  Клермон Фут _ : _
06.02.2022 Реймс  -  Бордо _ : _
06.02.2022 Ренн  -  Брест _ : _
06.02.2022 Сент-Этьен  -  Монпелье _ : _
06.02.2022 Страсбур  -  Нант _ : _
06.02.2022 Труа  -  Метц _ : _
24-й тур
13.02.2022 Анже  -  Страсбур _ : _
13.02.2022 Брест  -  Труа _ : _
13.02.2022 Клермон Фут  -  Сент-Этьен _ : _
13.02.2022 Ланс  -  Бордо _ : _
13.02.2022 Лион  -  Ницца _ : _
13.02.2022 Метц  -  Марсель _ : _
13.02.2022 Монако  -  Лорьян _ : _
13.02.2022 Монпелье  -  Лилль _ : _
13.02.2022 Нант  -  Реймс _ : _
13.02.2022 ПСЖ  -  Ренн _ : _
25-й тур
20.02.2022 Бордо  -  Монако _ : _
20.02.2022 Ланс  -  Лион _ : _
20.02.2022 Лилль  -  Метц _ : _
20.02.2022 Лорьян  -  Монпелье _ : _
20.02.2022 Марсель  -  Клермон Фут _ : _
20.02.2022 Нант  -  ПСЖ _ : _
20.02.2022 Ницца  -  Анже _ : _
20.02.2022 Реймс  -  Брест _ : _
20.02.2022 Ренн  -  Труа _ : _
20.02.2022 Сент-Этьен  -  Страсбур _ : _
26-й тур
27.02.2022 Анже  -  Ланс _ : _
27.02.2022 Брест  -  Лорьян _ : _
27.02.2022 Клермон Фут  -  Бордо _ : _
27.02.2022 Лион  -  Лилль _ : _
27.02.2022 Метц  -  Нант _ : _
27.02.2022 Монако  -  Реймс _ : _
27.02.2022 Монпелье  -  Ренн _ : _
27.02.2022 ПСЖ  -  Сент-Этьен _ : _
27.02.2022 Страсбур  -  Ницца _ : _
27.02.2022 Труа  -  Марсель _ : _
27-й тур
06.03.2022 Бордо  -  Труа _ : _
06.03.2022 Ланс  -  Брест _ : _
06.03.2022 Лилль  -  Клермон Фут _ : _
06.03.2022 Лорьян  -  Лион _ : _
06.03.2022 Марсель  -  Монако _ : _
06.03.2022 Нант  -  Монпелье _ : _
06.03.2022 Ницца  -  ПСЖ _ : _
06.03.2022 Реймс  -  Страсбур _ : _
06.03.2022 Ренн  -  Анже _ : _
06.03.2022 Сент-Этьен  -  Метц _ : _
28-й тур
13.03.2022 Анже  -  Реймс _ : _
13.03.2022 Брест  -  Марсель _ : _
13.03.2022 Клермон Фут  -  Лорьян _ : _
13.03.2022 Лилль  -  Сент-Этьен _ : _
13.03.2022 Лион  -  Ренн _ : _
13.03.2022 Метц  -  Ланс _ : _
13.03.2022 Монпелье  -  Ницца _ : _
13.03.2022 ПСЖ  -  Бордо _ : _
13.03.2022 Страсбур  -  Монако _ : _
13.03.2022 Труа  -  Нант _ : _
29-й тур
20.03.2022 Анже  -  Брест _ : _
20.03.2022 Бордо  -  Монпелье _ : _
20.03.2022 Ланс  -  Клермон Фут _ : _
20.03.2022 Лорьян  -  Страсбур _ : _
20.03.2022 Марсель  -  Ницца _ : _
20.03.2022 Монако  -  ПСЖ _ : _
20.03.2022 Нант  -  Лилль _ : _
20.03.2022 Реймс  -  Лион _ : _
20.03.2022 Ренн  -  Метц _ : _
20.03.2022 Сент-Этьен  -  Труа _ : _
30-й тур
03.04.2022 Клермон Фут  -  Нант _ : _
03.04.2022 Лилль  -  Бордо _ : _
03.04.2022 Лион  -  Анже _ : _
03.04.2022 Метц  -  Монако _ : _
03.04.2022 Монпелье  -  Брест _ : _
03.04.2022 Ницца  -  Ренн _ : _
03.04.2022 ПСЖ  -  Лорьян _ : _
03.04.2022 Сент-Этьен  -  Марсель _ : _
03.04.2022 Страсбур  -  Ланс _ : _
03.04.2022 Труа  -  Реймс _ : _
31-й тур
10.04.2022 Анже  -  Лилль _ : _
10.04.2022 Бордо  -  Метц _ : _
10.04.2022 Брест  -  Нант _ : _
10.04.2022 Клермон Фут  -  ПСЖ _ : _
10.04.2022 Ланс  -  Ницца _ : _
10.04.2022 Лорьян  -  Сент-Этьен _ : _
10.04.2022 Марсель  -  Монпелье _ : _
10.04.2022 Монако  -  Труа _ : _
10.04.2022 Реймс  -  Ренн _ : _
10.04.2022 Страсбур  -  Лион _ : _
32-й тур
17.04.2022 Лилль  -  Ланс _ : _
17.04.2022 Лион  -  Бордо _ : _
17.04.2022 Метц  -  Клермон Фут _ : _
17.04.2022 Монпелье  -  Реймс _ : _
17.04.2022 Нант  -  Анже _ : _
17.04.2022 Ницца  -  Лорьян _ : _
17.04.2022 ПСЖ  -  Марсель _ : _
17.04.2022 Ренн  -  Монако _ : _
17.04.2022 Сент-Этьен  -  Брест _ : _
17.04.2022 Труа  -  Страсбур _ : _
33-й тур
20.04.2022 Анже  -  ПСЖ _ : _
20.04.2022 Бордо  -  Сент-Этьен _ : _
20.04.2022 Брест  -  Лион _ : _
