1-й тур
01.11.2021 Вулверхэмптон Уондерерс  -  Эвертон 23:00
11-й тур
05.11.2021 Саутгемптон  -  Астон Вилла 23:00
06.11.2021 Манчестер Юнайтед  -  Манчестер Сити 15:30
06.11.2021 Брентфорд  -  Норвич 18:00
06.11.2021 Кристал Пэлас  -  Вулверхэмптон Уондерерс 18:00
06.11.2021 Челси  -  Бернли 18:00
06.11.2021 Брайтон & Хоув  -  Ньюкасл Юнайтед 20:30
07.11.2021 Арсенал  -  Уотфорд 17:00
07.11.2021 Лидс  -  Лестер 17:00
07.11.2021 Эвертон  -  Тоттенхэм Хотспур 17:00
07.11.2021 Вест Хэм Юнайтед  -  Ливерпуль 19:30
12-й тур
20.11.2021 Лестер  -  Челси 15:30
20.11.2021 Астон Вилла  -  Брайтон & Хоув 18:00
20.11.2021 Бернли  -  Кристал Пэлас 18:00
20.11.2021 Вулверхэмптон Уондерерс  -  Вест Хэм Юнайтед 18:00
20.11.2021 Норвич  -  Саутгемптон 18:00
20.11.2021 Ньюкасл Юнайтед  -  Брентфорд 18:00
20.11.2021 Уотфорд  -  Манчестер Юнайтед 18:00
20.11.2021 Ливерпуль  -  Арсенал 20:30
21.11.2021 Манчестер Сити  -  Эвертон 17:00
21.11.2021 Тоттенхэм Хотспур  -  Лидс 19:30
13-й тур
27.11.2021 Арсенал  -  Ньюкасл Юнайтед 15:30
27.11.2021 Кристал Пэлас  -  Астон Вилла 18:00
27.11.2021 Ливерпуль  -  Саутгемптон 18:00
27.11.2021 Норвич  -  Вулверхэмптон Уондерерс 18:00
27.11.2021 Брайтон & Хоув  -  Лидс 20:30
28.11.2021 Бернли  -  Тоттенхэм Хотспур 17:00
28.11.2021 Брентфорд  -  Эвертон 17:00
28.11.2021 Лестер  -  Уотфорд 17:00
28.11.2021 Манчестер Сити  -  Вест Хэм Юнайтед 17:00
28.11.2021 Челси  -  Манчестер Юнайтед 19:30
14-й тур
30.11.2021 Астон Вилла  -  Манчестер Сити 22:45
30.11.2021 Вест Хэм Юнайтед  -  Брайтон & Хоув 22:45
30.11.2021 Вулверхэмптон Уондерерс  -  Бернли 22:45
30.11.2021 Лидс  -  Кристал Пэлас 22:45
30.11.2021 Уотфорд  -  Челси 22:45
30.11.2021 Эвертон  -  Ливерпуль 22:45
30.11.2021 Манчестер Юнайтед  -  Арсенал 23:00
01.12.2021 Ньюкасл Юнайтед  -  Норвич 22:45
01.12.2021 Саутгемптон  -  Лестер 22:45
01.12.2021 Тоттенхэм Хотспур  -  Брентфорд 22:45
15-й тур
04.12.2021 Астон Вилла  -  Лестер _ : _
04.12.2021 Вест Хэм Юнайтед  -  Челси _ : _
04.12.2021 Вулверхэмптон Уондерерс  -  Ливерпуль _ : _
04.12.2021 Лидс  -  Брентфорд _ : _
04.12.2021 Манчестер Юнайтед  -  Кристал Пэлас _ : _
04.12.2021 Ньюкасл Юнайтед  -  Бернли _ : _
04.12.2021 Саутгемптон  -  Брайтон & Хоув _ : _
04.12.2021 Тоттенхэм Хотспур  -  Норвич _ : _
04.12.2021 Уотфорд  -  Манчестер Сити _ : _
04.12.2021 Эвертон  -  Арсенал _ : _
16-й тур
11.12.2021 Арсенал  -  Саутгемптон _ : _
11.12.2021 Бернли  -  Вест Хэм Юнайтед _ : _
11.12.2021 Брайтон & Хоув  -  Тоттенхэм Хотспур _ : _
11.12.2021 Брентфорд  -  Уотфорд _ : _
11.12.2021 Кристал Пэлас  -  Эвертон _ : _
11.12.2021 Лестер  -  Ньюкасл Юнайтед _ : _
11.12.2021 Ливерпуль  -  Астон Вилла _ : _
11.12.2021 Манчестер Сити  -  Вулверхэмптон Уондерерс _ : _
11.12.2021 Норвич  -  Манчестер Юнайтед _ : _
11.12.2021 Челси  -  Лидс _ : _
17-й тур
14.12.2021 Арсенал  -  Вест Хэм Юнайтед _ : _
14.12.2021 Бернли  -  Уотфорд _ : _
14.12.2021 Брайтон & Хоув  -  Вулверхэмптон Уондерерс _ : _
14.12.2021 Брентфорд  -  Манчестер Юнайтед _ : _
14.12.2021 Лестер  -  Тоттенхэм Хотспур _ : _
14.12.2021 Норвич  -  Астон Вилла _ : _
14.12.2021 Кристал Пэлас  -  Саутгемптон _ : _
15.12.2021 Ливерпуль  -  Ньюкасл Юнайтед _ : _
15.12.2021 Манчестер Сити  -  Лидс _ : _
15.12.2021 Челси  -  Эвертон _ : _
18-й тур
18.12.2021 Астон Вилла  -  Бернли _ : _
18.12.2021 Вест Хэм Юнайтед  -  Норвич _ : _
18.12.2021 Вулверхэмптон Уондерерс  -  Челси _ : _
18.12.2021 Лидс  -  Арсенал _ : _
18.12.2021 Манчестер Юнайтед  -  Брайтон & Хоув _ : _
18.12.2021 Ньюкасл Юнайтед  -  Манчестер Сити _ : _
18.12.2021 Саутгемптон  -  Брентфорд _ : _
18.12.2021 Тоттенхэм Хотспур  -  Ливерпуль _ : _
18.12.2021 Уотфорд  -  Кристал Пэлас _ : _
18.12.2021 Эвертон  -  Лестер _ : _
19-й тур
26.12.2021 Астон Вилла  -  Челси _ : _
26.12.2021 Бернли  -  Эвертон _ : _
26.12.2021 Брайтон & Хоув  -  Брентфорд _ : _
26.12.2021 Вест Хэм Юнайтед  -  Саутгемптон _ : _
26.12.2021 Вулверхэмптон Уондерерс  -  Уотфорд _ : _
26.12.2021 Ливерпуль  -  Лидс _ : _
26.12.2021 Манчестер Сити  -  Лестер _ : _
26.12.2021 Норвич  -  Арсенал _ : _
26.12.2021 Ньюкасл Юнайтед  -  Манчестер Юнайтед _ : _
26.12.2021 Тоттенхэм Хотспур  -  Кристал Пэлас _ : _
20-й тур
28.12.2021 Арсенал  -  Вулверхэмптон Уондерерс _ : _
28.12.2021 Брентфорд  -  Манчестер Сити _ : _
28.12.2021 Кристал Пэлас  -  Норвич _ : _
28.12.2021 Лестер  -  Ливерпуль _ : _
28.12.2021 Лидс  -  Астон Вилла _ : _
28.12.2021 Манчестер Юнайтед  -  Бернли _ : _
28.12.2021 Саутгемптон  -  Тоттенхэм Хотспур _ : _
28.12.2021 Уотфорд  -  Вест Хэм Юнайтед _ : _
28.12.2021 Челси  -  Брайтон & Хоув _ : _
28.12.2021 Эвертон  -  Ньюкасл Юнайтед _ : _
21-й тур
01.01.2022 Арсенал  -  Манчестер Сити _ : _
01.01.2022 Брентфорд  -  Астон Вилла _ : _
01.01.2022 Кристал Пэлас  -  Вест Хэм Юнайтед _ : _
01.01.2022 Лестер  -  Норвич _ : _
01.01.2022 Лидс  -  Бернли _ : _
01.01.2022 Манчестер Юнайтед  -  Вулверхэмптон Уондерерс _ : _
01.01.2022 Саутгемптон  -  Ньюкасл Юнайтед _ : _
01.01.2022 Уотфорд  -  Тоттенхэм Хотспур _ : _
01.01.2022 Челси  -  Ливерпуль _ : _
01.01.2022 Эвертон  -  Брайтон & Хоув _ : _
22-й тур
15.01.2022 Астон Вилла  -  Манчестер Юнайтед _ : _
15.01.2022 Бернли  -  Лестер _ : _
15.01.2022 Брайтон & Хоув  -  Кристал Пэлас _ : _
15.01.2022 Вест Хэм Юнайтед  -  Лидс _ : _
15.01.2022 Вулверхэмптон Уондерерс  -  Саутгемптон _ : _
15.01.2022 Ливерпуль  -  Брентфорд _ : _
15.01.2022 Манчестер Сити  -  Челси _ : _
15.01.2022 Норвич  -  Эвертон _ : _
15.01.2022 Ньюкасл Юнайтед  -  Уотфорд _ : _
